tmax;tmin;tsuelo;puntorocio;presion;velviento;precipi;humedad;uvindex;y
23,64;13,29;18,95;0;1015;1,36;0;91;12,83;0,3
26;13,15;18,95;0;1018;3,09;0;61;12,83;0,3
22,53;13,15;18,95;0;1014;5,14;0;83;13,38;0,3
23,29;13,15;19,06;0;1016;1,03;0;83;13,38;0,3
23,29;13,15;22,2;0;1015;1,46;0,51;73;13,38;0,3
23,29;13,15;19,06;0;1016;1,63;0;95;13,38;0,3
23,04;13,76;19,06;0;1014;1,32;0;91;13,56;0,3
21,79;13,54;19,06;0;1013;1,65;0;69;13,56;0,3
24;13,54;19,06;0;1015;3,09;0;73;14,07;0,3
24;13,54;22,2;0;1016;1,05;2,99;73;14,07;0,3
22,72;13,54;18,75;0;1017;2,06;0;78;14,07;0,3
22,72;13,54;18,75;16,78;1015;0,76;0;96;14,07;0,3
22,72;13,54;18,75;16,78;1018;2,06;0;94;14,07;0,3
22,72;13,54;18,75;16,78;1018;2,06;0;94;14,07;0,3
22,72;13,54;22,18;16,78;1018;0,55;1,12;94;14,07;0,3
19,84;14,76;18,75;16,58;1014;0,45;0;97;12,8;0,3
24;14,76;18,75;18,5;1018;1,03;0;73;12,8;0,3
20,05;14,76;18,75;16,98;1016;1,03;0;94;12,63;0,3
20,31;14,76;22,18;16,78;1016;0,76;3,05;94;12,63;0,3
20,31;14,76;18,35;16,78;1020;1,03;0;100;12,63;0,3
16,98;14,62;18,35;16,42;1016;0,53;0;98;3,49;0,3
16,98;14,62;18,35;16,42;1016;0,53;0;98;3,49;0,3
16,98;14,62;18,35;16,42;1016;0,53;0;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;10,04;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;9,78;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;9,78;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;9,78;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;10,01;98;3,49;0,3
16,98;14,62;18,35;16,42;1015;0,6;10,01;98;3,49;0,3
19,47;13,16;17,25;15,77;1017;0,75;16,7;97;10,98;0,3
20,19;13,71;17,25;16,08;1016;0,71;15,89;97;10,98;0,3
20,33;13,78;17,25;18,3;1021;2,06;14,09;94;10,98;0,3
25;13,78;17,25;16,74;1018;3,09;16,29;69;12,31;0,3
21,14;13,78;18,2;15,69;1021;1,03;15,76;100;12,31;0,3
16,39;14,03;18,2;15,52;1017;0,79;6,31;97;11,01;0,3
20;13,91;18,2;17,42;1022;1,03;11,68;88;11,01;0,3
24;13,81;18,2;16,68;1019;1,03;11,98;73;3,3;0,3
19;13,91;17,24;15,28;1020;1,54;11,46;94;3,3;0,3
22,47;11,27;17,24;14,18;1017;1,3;6,68;87;14,65;0,3
23;11,28;17,57;17,03;1020;2,06;6,39;73;14,65;0,3
26;11,28;17,57;15,08;1017;3,09;3,15;61;14,46;0,3
22,53;11,28;16,95;13,99;1021;1,03;4,91;88;14,46;0,3
20,88;13,87;16,95;15,36;1017;0,51;12,89;97;14,45;0,3
23;13,92;16,95;17,32;1020;2,06;3,84;73;14,45;0,3
26;13,92;16,95;16,51;1017;3,09;5,95;61;9,52;0,3
19;13,5;17,38;15,06;1020;6,17;3,93;88;6,67;0,3
20;13,5;19,27;15,06;1019;0,84;4,14;88;6,67;0,3
18;13,5;17,38;15,06;1021;1,03;3,93;88;6,67;0,3
23,18;13,32;17,38;15,17;1018;0,83;9,68;95;14,31;0,3
22,26;13,29;17,38;17,36;1021;2,57;9,82;83;14,31;0,3
27;13,29;17,38;16,01;1016;4,12;5,61;57;14,32;0,3
23,63;13,29;18,09;14,87;1020;2,57;8,42;88;14,32;0,3
22,76;13,35;18,09;16,16;1018;1,34;16,24;94;13,69;0,3
25;13,73;18,09;17,67;1021;3,09;14,46;65;13,69;0,3
21,79;13,73;18,09;16,95;1018;4,12;14,4;88;14,16;0,3
22,7;13,73;18,71;16,11;1019;4,12;15,1;88;14,16;0,3
22,89;14,38;18,73;16,13;1017;0,68;13,18;97;13,94;0,3
25;14,31;18,73;17,48;1020;3,09;15,25;65;13,94;0,3
27;14,31;18,73;16,52;1016;2,57;11,74;57;13,68;0,3
21,41;14,31;18,69;15,88;1018;1,03;10,79;96;13,68;0,3
22,31;12,67;18,69;15,97;1017;1,36;9,58;92;13,38;0,3
25;13,36;18,69;17,64;1020;1,54;7,36;65;13,38;0,3
28;13,36;18,69;17,04;1015;2,06;7,62;57;14,07;0,3
22,63;13,36;18,27;16,09;1017;1,06;9,01;96;14,07;0,3
21,69;14,1;18,27;16,29;1016;0,18;14,72;96;8,98;0,3
23;14,11;18,27;17,38;1019;1,03;16,25;73;8,98;0,3
22;14,11;18,27;17,13;1015;5,14;11,11;83;13,68;0,3
21,95;14,11;17,58;16,2;1020;2,57;10,17;88;13,68;0,3
24,59;13,04;18,14;15,6;1016;1,6;9,67;90;13,94;0,3
24,14;12,92;18,14;17,2;1018;2,57;9,16;69;13,94;0,3
22,06;12,92;18,14;16,34;1015;8,23;6,96;88;13,12;0,3
24,35;12,92;18,64;15,25;1018;4,12;12,23;88;13,12;0,3
24,42;13,42;18,64;14,83;1014;1,57;9,94;91;13,68;0,3
22,12;13,68;18,64;18,06;1017;2,06;3,17;83;13,68;0,3
25;13,68;18,69;15,89;1015;3,09;1,56;69;9,21;0,3
22,35;13,68;18,49;14,83;1018;4,12;1,63;83;9,21;0,3
24,61;12,96;18,49;14,47;1015;1,57;4,68;83;14,19;0,3
27;13,24;18,49;16,92;1016;2,06;6,58;57;14,19;0,3
23,55;13,24;18,49;15,6;1014;4,12;6,67;73;14,41;0,3
24,51;13,24;18,15;14,6;1017;2,57;7,45;88;14,41;0,3
24,46;13,21;18,15;15,43;1015;1,6;9,12;89;13,22;0,3
23,11;13,28;18,15;7,87;1012;1,35;7,83;59;13,22;0,3
21,88;13,28;18,15;11,86;1008;1,17;5,27;57;14,37;0,3
24,55;13,28;18,97;15,18;1016;1,97;7,13;93;14,37;0,3
24,69;13,48;18,97;16,04;1015;1,33;7,55;90;14,03;0,3
43,78;13,64;18,86;31,07;1013;1,42;8,53;63;14,03;0,3
24,92;13,64;19,39;15,97;1017;2,06;6,44;88;14,08;0,3
23,04;13,73;19,39;16,6;1014;1,41;14,77;89;13,16;0,3
26;13,8;19,39;18,45;1018;3,09;10,24;65;13,16;0,3
27;13,8;19,39;16,99;1014;2,06;3,85;61;8,4;0,3
22,78;13,8;18,79;16,27;1018;2,06;10,67;88;8,4;0,3
22,61;13,36;18,79;16,93;1015;1,49;16,07;93;12,27;0,3
25;13,44;18,71;17,77;1017;3,09;16,06;65;12,27;0,3
21,63;13,44;18,71;17,63;1014;4,12;13,26;94;12,96;0,3
22,87;13,44;18,67;17,01;1019;7,2;15,88;94;12,96;0,3
21,12;14,86;19,16;16,78;1015;1,03;13,74;97;9,49;0,3
23;14,65;19,16;17,62;1020;3,09;15,9;73;9,49;0,3
25;14,65;19,16;16,75;1016;5,14;15,68;65;13,67;0,3
22,69;14,65;19,05;16,24;1020;2,57;18,16;83;13,67;0,3
20,15;14,57;19,05;17,66;1015;0,68;22,24;97;11,02;0,3
23;14,69;19,05;18,58;1020;1,03;26,81;78;11,02;0,3
21;14,62;19,05;17,37;1017;5,14;14,29;88;12,68;0,3
21,37;14,69;18,77;16,86;1020;1,03;18,33;88;12,68;0,3
21;14,05;18,71;15,88;1017;1,2;8,84;96;11,65;0,3
19,4;13,64;18,71;15,46;1017;0,81;7,09;86;11,65;0,3
20,72;13,65;18,71;16,21;1012;1,27;5,92;77;7,18;0,3
20,17;13,74;18,03;16,32;1017;1,72;7,64;95;7,18;0,3
24,72;12,48;18,03;14,46;1016;1,69;3,63;87;13,8;0,3
23,9;12,45;18,03;13,45;1013;1,31;7,41;56;13,8;0,3
24,36;12,45;18,03;13,73;1008;1,94;4,33;54;13,66;0,3
24,97;12,45;18,55;14,14;1016;1,92;5,39;96;13,66;0,3
23,9;13,37;18,55;16,16;1014;1,15;12,24;91;13,44;0,3
23,59;13,45;18,55;15,24;1013;1,52;11,71;63;13,44;0,3
24,72;13,45;18,55;15,66;1008;1,36;6,28;61;13,73;0,3
24,54;13,45;18,71;15,77;1015;1,95;8,59;95;13,73;0,3
23,96;13,95;18,71;16,65;1014;1,22;11,42;88;13,09;0,3
23,29;13,97;18,71;15,73;1013;1,56;11,69;65;13,09;0,3
23,89;13,97;18,71;16,42;1008;1,25;11,13;67;13,51;0,3
24,3;13,97;19,14;16,51;1015;1,48;12,12;96;13,51;0,3
23,38;14,24;19,14;16,97;1015;1,16;12,64;93;5,68;0,3
22,57;14,21;19,14;16,37;1013;1,33;9,82;70;5,68;0,3
23,72;14,21;18,71;17,43;1009;0,67;8,92;76;12,72;0,3
23,33;14,21;18,95;16,64;1016;1,48;8,54;96;12,72;0,3
22,5;14,58;18,95;17,16;1014;0,86;18,04;97;10,39;0,3
22,1;14,58;18,95;19,85;1015;0,55;11,62;95;10,39;0,3
23,72;14,58;18,95;17,07;1010;1,26;10,53;70;11,75;0,3
22,14;14,58;17,98;16,62;1015;1,34;15,48;96;11,75;0,3
24,79;13,9;17,98;16,27;1015;1,47;7,64;92;13,51;0,3
24,32;13,71;18,67;16,77;1013;1,17;6,71;67;13,51;0,3
24,19;13,71;18,75;15,22;1008;1,65;4,93;59;13,88;0,3
25,09;13,71;18,84;15,83;1016;1,77;6,72;95;13,88;0,3
23,97;13,78;18,84;16,6;1016;1,17;11,19;92;13,21;0,3
23,72;13,82;18,47;16,64;1014;1,58;11,91;65;13,21;0,3
26,72;13,82;18,47;17,64;1010;0,61;8,26;68;13,65;0,3
23,56;13,82;18,88;16,37;1017;1,65;11,24;95;13,65;0,3
23,71;14,12;18,76;16,07;1016;1,06;15,95;97;11,73;0,3
22,81;14,3;18,76;15,4;1014;1,34;16,34;64;11,73;0,3
22,6;14,15;18,76;16,63;1011;0,94;13,37;82;13,52;0,3
23,54;14,3;18,95;16,05;1017;1,6;16,64;94;13,52;0,3
23,25;13,44;19,27;16,52;1017;1,51;10,99;91;13,23;0,3
22,86;13,33;19,27;15,36;1015;1,33;11,34;67;13,23;0,3
22,7;13,33;19,27;15,05;1010;0,74;8,93;65;13,74;0,3
23,46;13,33;18,77;15,98;1017;1,77;10,09;96;13,74;0,3
20,94;13,2;18,77;16,75;1016;1,65;12,73;93;12,68;0,3
19,25;13,39;18,77;15,17;1016;1,64;9,59;77;12,68;0,3
20,81;13,39;18,44;17,17;1012;1,22;8,77;88;11,94;0,3
20,83;13,39;18,48;16,65;1017;0,68;12,08;96;11,94;0,3
21,65;13,69;18,48;15,45;1016;0,73;8,07;97;8,16;0,3
21,1;13,62;18,48;14,58;1014;1,62;5,53;68;8,16;0,3
23,72;13,62;18,48;16,23;1011;1,61;4,91;71;9,98;0,3
21,28;13,62;18,21;15,55;1017;0,99;6,86;96;9,98;0,3
23,18;13,98;17,92;16,4;1016;0,79;10,13;97;12,95;0,3
22,06;14,21;17,92;15,09;1014;1,35;12,97;70;12,95;0,3
22,75;14,21;17,92;16,71;1009;0,62;10,69;72;13,45;0,3
22,93;14,21;18,77;16,81;1017;1,72;10,46;96;13,45;0,3
23,06;13,8;18,77;16,54;1016;1,2;13,85;92;13,1;0,3
23,72;13,82;18,77;16,63;1009;1,22;15,53;68;12,82;0,3
23,09;13,82;18,35;16,44;1017;1,61;16,02;97;12,82;0,3
23,18;13,6;19,34;15,85;1016;1,52;12,51;94;10,07;0,3
21,72;13,5;19,34;16,21;1014;0,72;10,99;72;10,07;0,3
24,72;13,5;19,34;16,82;1009;1,24;14,59;69;12,38;0,3
22,73;13,5;18,29;16,31;1016;1,48;12,85;97;12,38;0,3
23,05;13,61;18,55;15,99;1015;1,38;6,61;95;13,27;0,3
23,72;13,6;18,55;16,74;1013;1,55;6,09;66;13,27;0,3
23,37;13,6;18,55;15,64;1009;0,94;5,41;64;13,13;0,3
23,31;13,6;18,75;15,95;1016;1,48;5,96;95;13,13;0,3
23,33;13,41;18,68;16,26;1015;1,28;12,45;92;12,92;0,3
23,72;13,37;18,68;17,07;1013;1,68;10,2;68;12,92;0,3
24,72;13,37;18,68;16,91;1009;0,88;8,24;68;12,47;0,3
23,43;13,37;18,57;16,41;1016;1,76;8,92;96;12,47;0,3
23,79;13,65;18,57;15,97;1015;1,27;11,45;92;13,08;0,3
22,05;13,65;18,57;13,53;1013;1,49;10,54;66;13,08;0,3
23,12;13,65;18,57;15,43;1009;0,34;4,59;64;10,99;0,3
23,32;13,65;19,31;15,65;1015;1,91;4,58;91;10,99;0,3
23,4;14,07;19,31;15,89;1015;1,55;17,17;83;11,71;0,3
23,16;13,92;19,31;15,15;1013;1,76;15,66;63;11,71;0,3
24,72;13,92;19,31;16,27;1009;0,91;11,13;67;12,69;0,3
23,51;13,92;18,55;15,89;1015;1,39;11,61;96;12,69;0,3
22,81;13,81;18,79;16,51;1015;1,16;13,58;94;12,09;0,3
22,49;13,65;18,79;15,51;1013;1,51;10,74;68;12,09;0,3
20,9;13,65;18,79;15,01;1008;1,08;11,62;76;13,42;0,3
23,26;13,65;18,17;16,57;1015;1,7;15,44;97;13,42;0,3
21,5;13,93;18,17;15,9;1015;0,92;9,94;97;2,93;0,3
19,69;14,3;18,17;13,36;1013;1,53;13,35;69;2,93;0,3
21,76;13,87;18,17;16,71;1010;1,39;12,09;85;12,12;0,3
22,46;14,3;18,28;15,9;1017;1,37;13,71;96;12,12;0,3
19,68;13,32;18,28;15,59;1017;1,26;7,11;95;7,84;0,3
17,93;13,86;18,28;16,46;1017;0,46;5,6;95;7,84;0,3
19,74;13,86;18,28;15,13;1013;1,34;7,43;77;12,1;0,3
20,35;13,86;17,45;15,2;1018;0,61;9,53;98;12,1;0,3
16,44;13,98;17,45;15,53;1017;0,26;8,8;99;9,91;0,3
18,72;13,69;17,45;17,24;1019;0,84;9,14;95;9,91;0,3
18,72;14,34;17,76;15,58;1015;1;7,98;84;4,11;0,3
18,12;14,34;16,69;15,72;1018;1,07;8,38;88;4,11;0,3
22,92;13,77;16,69;15,34;1018;0,74;9,68;91;13,2;0,3
22,51;14,11;18,15;14,47;1015;1,37;1,02;61;13,2;0,3
22,54;14,11;18,15;14,65;1010;0,61;2,92;66;12,98;0,3
22,41;13,07;22,08;0;1016;1,43;3,7;88;14,05;0,3
19,91;13,84;21,69;0;1018;0,88;0,39;94;5,92;0,3
24;12,63;21,22;0;1018;1,08;1,18;73;7,61;0,3
21,69;13,96;21,37;0;1015;0,45;0,73;95;10,65;0,3
21,69;13,92;21,37;0;1015;0,45;0,73;95;10,65;0,3
21,69;13,92;21,37;0;1015;0,45;0,73;95;10,65;0,3
21,69;13,92;21,37;0;1015;0,45;0,73;95;10,65;0,3
21,69;13,86;21,37;0;1016;0,45;0,73;96;10,65;0,3
21,69;14,1;21,37;0;1018;0,45;0,73;100;10,65;0,3
21,69;14,1;21,37;0;1018;0,45;0,73;100;10,65;0,3
21,69;14,1;21,37;0;1018;1,64;0,2;94;10,65;0,3
24;13,61;21,37;0;1016;0,99;3,74;73;14,27;0,3
21,39;12,93;21,71;0;1021;1,39;0,79;88;13,69;0,3
23;12,93;21,61;0;1016;1,91;0,1;73;12,13;0,3
23,04;12,26;21,61;0;1016;1,27;0,24;91;14,72;0,3
23;12,35;21,61;0;1015;1,16;4,73;83;14,87;0,3
26;12,17;21,64;0;1015;1,23;2,33;61;12,8;0,3
25;11,96;20,92;0;1017;1,15;0,73;65;14,58;0,3
21,57;13,31;18,54;0;1017;4,12;0;88;13,58;0,3
21,57;13,31;18,54;0;1017;4,12;0;88;13,58;0,3
21,44;13,41;18,77;0;1019;3,09;0;94;14,26;0,3
21,44;13,41;18,77;0;1019;3,09;0;94;14,26;0,3
21,44;13,41;21,67;0;1018;1,25;0,49;94;14,26;0,3
22,26;12,66;18,77;0;1016;1,5;0;94;14,19;0,3
24;12,57;18,77;0;1019;3,09;0;73;14,19;0,3
27;12,57;18,77;0;1016;4,12;0;57;14,34;0,3
26;12,57;21,67;0;1014;1,48;2,98;65;14,34;0,3
22,79;12,57;18,95;0;1016;3,09;0;78;14,34;0,3
22,85;12,75;18,95;0;1015;1,44;0;90;12,83;0,3
26;12,61;18,95;0;1018;3,09;0;61;12,83;0,3
22,24;12,61;18,95;0;1014;5,14;0;83;13,38;0,3
22,5;12,61;19,06;0;1016;1,03;0;83;13,38;0,3
23;12,61;22,2;0;1015;1,55;0,48;73;13,38;0,3
22,5;12,61;19,06;0;1016;1,71;0;95;13,38;0,3
22,25;13,26;19,06;0;1015;1,37;0;91;13,56;0,3
21,15;13,02;19,06;0;1013;1,68;0;70;13,56;0,3
24;13,02;19,06;0;1015;3,09;0;73;14,07;0,3
24;13,02;22,2;0;1016;1,02;3,15;73;14,07;0,3
22;13,02;18,75;0;1017;2,06;0;78;14,07;0,3
21,92;13,02;18,75;16,57;1015;0,75;0;96;14,07;0,3
21,92;13,02;18,75;16,57;1018;2,06;0;94;14,07;0,3
21,92;13,02;18,75;16,57;1018;2,06;0;94;14,07;0,3
21,92;13,02;22,18;16,57;1018;0,52;1,06;94;14,07;0,3
19,23;14,29;18,75;16,27;1015;0,46;0;97;12,8;0,3
24;14,29;18,75;18,36;1018;1,03;0;73;12,8;0,3
19,48;14,29;18,75;16,75;1016;1,03;0;94;12,63;0,3
19,6;14,29;22,18;16,53;1016;0,73;2,95;94;12,63;0,3
19,6;14,29;18,35;16,53;1020;1,03;0;100;12,63;0,3
16,48;14,1;18,35;16,13;1016;0,52;0;98;3,49;0,3
16,48;14,1;18,35;16,13;1016;0,52;0;98;3,49;0,3
16,48;14,1;18,35;16,13;1016;0,52;0;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,33;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,09;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,09;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,09;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,32;98;3,49;0,3
16,48;14,1;18,35;16,13;1015;0,58;10,32;98;3,49;0,3
18,92;13,89;17,25;16,1;1015;0,57;18,21;97;3,49;0,3
18,92;13,89;17,25;16,1;1015;0,37;18,37;97;3,49;0,3
22;14,03;18,2;18,6;1020;1,03;8,9;83;3,49;0,3
24;13,83;18,2;16,92;1016;1,03;16,42;69;12,51;0,3
19,37;14,08;17,25;16,55;1020;2,06;24,21;100;12,51;0,3
20,04;13,25;17,25;18,17;1021;2,06;14,68;94;10,98;0,3
25;13,25;17,25;16,6;1018;3,09;17;69;12,31;0,3
20,34;13,25;18,2;15,41;1021;1,03;16,39;100;12,31;0,3
15,82;13,5;18,2;15,22;1017;0,77;7,01;97;11,01;0,3
20;13,41;18,2;17,32;1022;1,03;12,41;88;11,01;0,3
24;13,26;18,2;16,38;1019;1,03;12,78;73;3,3;0,3
19;13,41;17,24;14,96;1020;1,54;12,24;94;3,3;0,3
21,72;10,78;17,24;13,91;1017;1,38;6,98;87;14,65;0,3
23;10,78;17,57;16,91;1020;2,06;6,96;73;14,65;0,3
26;10,78;17,57;14,72;1017;3,09;3,53;61;14,46;0,3
21,75;10,78;16,95;13,73;1021;1,03;5,31;88;14,46;0,3
19,98;13,28;16,95;15,14;1017;0,56;13,64;97;14,45;0,3
23;13,36;16,95;17,4;1020;2,06;3,83;73;14,45;0,3
26;13,36;16,95;16,17;1017;3,09;6,15;61;9,52;0,3
19;12,95;17,38;14,73;1020;6,17;4,46;88;6,67;0,3
20;12,95;19,27;14,73;1019;0,9;4,67;88;6,67;0,3
18;12,95;17,38;14,73;1021;1,03;4,46;88;6,67;0,3
22,35;12,85;17,38;14,94;1018;0,88;10,09;94;14,31;0,3
21,74;12,79;17,38;17,24;1021;2,57;10,17;83;14,31;0,3
27;12,79;17,38;15,66;1016;4,12;5,89;57;14,32;0,3
22,85;12,79;18,09;14,62;1020;2,57;8,71;88;14,32;0,3
21,91;12,76;18,09;15,94;1018;1,41;16;94;13,69;0,3
25;13,15;18,09;17,52;1021;3,09;14,4;65;13,69;0,3
21,36;13,15;18,09;16,94;1018;4,12;14,52;88;14,16;0,3
21,89;13,15;18,71;15,89;1019;4,12;14,95;88;14,16;0,3
22,05;13,82;18,73;15,93;1017;0,7;13,99;97;13,94;0,3
25;13,73;18,73;17,59;1020;3,09;15,36;65;13,94;0,3
27;13,73;18,73;16,41;1016;2,57;11,69;57;13,68;0,3
20,76;13,73;18,69;15,62;1018;1,01;10,81;96;13,68;0,3
21,47;12,16;18,69;15,77;1017;1,4;9,77;92;13,38;0,3
25;12,87;18,69;17,51;1020;1,54;7,45;65;13,38;0,3
28;12,87;18,69;16,87;1015;2,06;7,68;57;14,07;0,3
21,77;12,87;18,27;15,89;1017;1,08;9,19;96;14,07;0,3
20,98;13,59;18,27;16,02;1016;0,18;14,58;97;8,98;0,3
23;13,62;18,27;17,46;1019;1,03;15,92;73;8,98;0,3
22;13,51;18,27;16,69;1015;5,14;11;83;13,68;0,3
21,2;13,62;17,58;15,96;1020;2,57;10,21;88;13,68;0,3
23,93;12,53;18,14;15,27;1016;1,68;9,55;90;13,94;0,3
24;12,41;18,14;17,11;1018;2,57;8,78;69;13,94;0,3
21,78;12,41;18,14;15,85;1015;8,23;6,7;88;13,12;0,3
23,63;12,41;18,64;14,88;1018;4,12;11,72;88;13,12;0,3
23,79;12,95;18,64;14,41;1014;1,67;9,56;90;13,68;0,3
22;13,22;18,64;17,94;1017;2,06;3,06;83;13,68;0,3
25;13,22;18,69;15,58;1015;3,09;1,57;69;9,21;0,3
21,92;13,22;18,49;14,41;1018;4,12;1,72;83;9,21;0,3
23,88;12,49;18,49;14,11;1015;1,66;4,6;83;14,19;0,3
27;12,78;18,49;16,83;1016;2,06;6,43;57;14,19;0,3
23,23;12,78;18,49;15,3;1014;4,12;6,45;73;14,41;0,3
23,71;12,78;18,15;14,24;1017;2,57;7,3;88;14,41;0,3
23,79;12,75;18,15;15,21;1015;1,69;9,17;89;13,22;0,3
22,35;12,83;18,15;7,27;1013;1,29;7,67;59;13,22;0,3
21,36;12,83;18,15;11,27;1008;1,09;5,21;58;14,37;0,3
23,8;12,83;18,97;14,9;1016;2,05;6,92;93;14,37;0,3
24,01;12,98;18,97;15,8;1015;1,43;7,71;90;14,03;0,3
43,13;13,14;18,86;30,74;1013;1,42;8,58;64;14,03;0,3
29;13,14;18,86;16,6;1013;2,06;6,19;54;14,08;0,3
24,28;13,14;19,39;15,67;1017;2,06;6,51;88;14,08;0,3
22,31;13,22;19,39;16,38;1015;1,5;14,82;89;13,16;0,3
26;13,33;19,39;18,32;1018;3,09;10,27;65;13,16;0,3
27;13,33;19,39;16,89;1014;2,06;4,31;61;8,4;0,3
22,01;13,33;18,79;16,04;1018;2,06;10,84;88;8,4;0,3
21,86;12,88;18,79;16,69;1015;1,56;16,17;93;12,27;0,3
25;12,95;18,71;17,64;1017;3,09;15,93;65;12,27;0,3
21,24;12,95;18,71;17,45;1014;4,12;13,4;94;12,96;0,3
22,12;12,95;18,67;16,8;1019;7,2;15,92;94;12,96;0,3
20,48;14,28;19,16;16,5;1016;1,04;14,01;97;9,49;0,3
23;14,16;19,16;17,52;1020;3,09;16,25;73;9,49;0,3
25;14,16;19,16;16,56;1016;5,14;16,39;65;13,67;0,3
21,9;14,16;19,05;16,06;1020;2,57;18,81;83;13,67;0,3
19,43;14,01;19,05;17,36;1015;0,7;22,11;97;11,02;0,3
23;14,15;19,05;18,45;1020;1,03;26,27;78;11,02;0,3
21;14,06;19,05;17,1;1017;5,14;14,01;88;12,68;0,3
20,69;14,15;18,77;16,54;1020;1,03;18;88;12,68;0,3
20,42;13,59;18,71;15,54;1017;1,22;8,72;96;11,65;0,3
18,73;13,01;18,71;14,99;1018;0,76;7,38;86;11,65;0,3
20,07;13,07;18,71;15,68;1013;1,24;6,27;78;7,18;0,3
19,56;13,17;18,03;16,01;1017;1,8;7,83;94;7,18;0,3
24,06;12,04;18,03;14,12;1016;1,79;3,63;87;13,8;0,3
23,24;12,04;18,03;12,87;1013;1,34;7,2;56;13,8;0,3
23,68;12,04;18,03;13,49;1008;1,92;4,13;55;13,66;0,3
24,3;12,04;18,55;13,82;1016;2;5,26;96;13,66;0,3
23,14;12,87;18,55;15,94;1015;1,2;12,22;91;13,44;0,3
22,87;12,92;18,55;14,87;1013;1,53;11,67;64;13,44;0,3
24,07;12,92;18,55;15,54;1008;1,32;6,33;63;13,73;0,3
23,78;12,92;18,71;15,55;1016;2,04;8,66;95;13,73;0,3
23,28;13,41;18,71;16,39;1015;1,33;11,56;88;13,09;0,3
22,51;13,44;18,71;15,11;1013;1,58;11,68;65;13,09;0,3
23,18;13,44;18,71;16,24;1009;1,21;11,37;70;13,51;0,3
23,55;13,44;19,14;16,23;1016;1,53;12,44;96;13,51;0,3
22,59;13,71;19,14;16,77;1015;1,22;12,86;93;5,68;0,3
21,89;13,66;19,14;15,99;1013;1,3;9,94;71;5,68;0,3
23,07;13,66;18,71;17,07;1009;0,64;9,21;78;12,72;0,3
22,67;13,66;18,95;16,35;1016;1,56;8,83;96;12,72;0,3
21,76;14,03;18,95;16,94;1015;0,91;17,91;97;10,39;0,3
21,42;14,03;18,95;19,25;1015;0,57;11,79;95;10,39;0,3
23,07;14,03;18,95;16,6;1010;1,22;10,74;71;11,75;0,3
21,46;14,03;17,98;16,34;1015;1,43;15,72;96;11,75;0,3
24,1;13,36;17,98;15,98;1015;1,56;7,58;92;13,51;0,3
23,65;13,16;18,67;15,93;1013;1,12;6,71;66;13,51;0,3
23,56;13,16;18,75;14,68;1008;1,58;4,87;60;13,88;0,3
24,41;13,16;18,84;15,52;1016;1,85;6,76;94;13,88;0,3
23,27;13,27;18,84;16,32;1016;1,22;11,16;92;13,21;0,3
23,07;13,34;18,47;16,26;1014;1,57;11,72;65;13,21;0,3
26,07;13,34;18,47;17,28;1010;0,61;8,31;70;13,65;0,3
22,79;13,34;18,88;16,08;1017;1,73;11,16;95;13,65;0,3
23,03;13,59;18,76;15,82;1016;1,13;16,15;97;11,73;0,3
22,16;13,79;18,76;15,03;1014;1,33;16,27;64;11,73;0,3
22;13,61;18,76;16,06;1011;0,88;13,5;82;13,52;0,3
22,96;13,79;18,95;15,76;1018;1,68;16,59;94;13,52;0,3
22,46;12,9;19,27;16,26;1017;1,58;10,96;91;13,23;0,3
22,11;12,8;19,27;14,76;1015;1,32;11,07;67;13,23;0,3
22,1;12,8;19,27;14,98;1010;0,74;8,83;67;13,74;0,3
22,78;12,8;18,77;15,64;1018;1,85;9,92;96;13,74;0,3
20,25;12,66;18,77;16,46;1016;1,71;12,43;93;12,68;0,3
18,6;12,88;18,77;14,72;1016;1,67;9,45;78;12,68;0,3
20,15;12,88;18,44;16,67;1012;1,26;8,98;89;11,94;0,3
20,17;12,88;18,48;16,35;1017;0,7;12,7;96;11,94;0,3
20,86;13,23;18,48;15,22;1016;0,76;8,86;97;8,16;0,3
20,38;13,15;18,48;14,39;1014;1,6;5,6;69;8,16;0,3
23,07;13,15;18,48;16,01;1011;1,56;5,1;73;9,98;0,3
20,49;13,15;18,21;15,33;1017;0,97;6,94;96;9,98;0,3
22,38;13,44;17,92;16,16;1016;0,82;10,75;97;12,95;0,3
21,31;13,71;17,92;14,9;1014;1,37;12,75;71;12,95;0,3
22,03;13,71;17,92;16,47;1010;0,61;10,44;74;13,45;0,3
22,22;13,71;18,77;16,59;1017;1,8;10,62;96;13,45;0,3
22,29;13,23;18,77;16,29;1016;1,24;13,89;91;13,1;0,3
23,07;13,27;18,77;16,2;1010;1,15;15,32;70;12,82;0,3
22,43;13,27;18,35;16,2;1017;1,65;16;97;12,82;0,3
